source	target	type
A2M	ARHGEF6	association
A2M	CDC42	physical-association
A2M	MMP1	physical-association
A2M	MMP3	physical-association
A2M	RHOA	physical-association
A2M	SOS1	association
AAAS	CCNB2	physical-association
AAAS	CDK1	physical-association
AAAS	RAN	physical-association
AAAS	RANBP1	association
AAAS	XPO1	physical-association
AATF	NGFR	physical-association
ABCA1	CREBBP	association
ABCA1	NCOR1	association
ABCA1	RXRA	association
ABCA1	SIN3A	association
ABCB1	MIR451A	association
ABCB1	SLC22A1	association
ABCB1	SLC22A2	association
ABCB1	SLC22A3	association
ABCB4	CREBBP	association
ABCB4	NCOR1	association
ABCB4	RXRA	association
ABCB4	SIN3A	association
ABCC1	ALOX5	association
ABCC1	ALOX5AP	association
ABCC1	GGT1	association
ABCC1	GGT5	association
ABCC1	LMBRD1	association
ABCC1	LTC4S	association
ABCC1	MIR345	association
ABCC1	MIR7-1	association
ABCC1	TCN1	association
ABCC1	TCN2	association
ABCC5	CD44	association
ABCC8	PRKACA	association
ABCC8	SLC25A4	association
ABHD5	PRKACA	association
ABI1	ABL1	physical-association
ABI1	CDC42	association
ABI1	CRK	association
ABI1	FCGR1A	association
ABI1	GRB2	association
ABI1	HSP90AA1	association
ABI1	MAPK1	physical-association
ABI1	PIK3CA	association
ABI1	PIK3R2	association
ABI1	PTK2	association
ABI1	PXN	association
ABI1	RAC1	physical-association
ABI1	SRC	association
ABI1	SYK	association
ABI1	VEGFA	association
ABL1	ACTB	association
ABL1	ACTG1	association
ABL1	ACTR2	association
ABL1	ACTR3	association
ABL1	ARPC1A	association
ABL1	ARPC2	association
ABL1	ARPC3	association
ABL1	ARPC4	association
ABL1	ARPC5	association
ABL1	BAIAP2	physical-association
ABL1	BNIP2	physical-association
ABL1	BOC	physical-association
ABL1	BRK1	physical-association
ABL1	CABLES1	physical-association
ABL1	CAP1	physical-association
ABL1	CAP2	physical-association
ABL1	CDC42	physical-association
ABL1	CDH15	physical-association
ABL1	CDH2	physical-association
ABL1	CDK5	physical-association
ABL1	CDON	physical-association
ABL1	CLASP1	physical-association
ABL1	CLASP2	physical-association
ABL1	CTNNA1	physical-association
ABL1	CTNNA2	physical-association
ABL1	CTNNB1	physical-association
ABL1	CYFIP2	physical-association
ABL1	GPC1	physical-association
ABL1	GRB2	association
ABL1	MAP2K6	association
ABL1	MAP3K7	association
ABL1	MAPK1	association
ABL1	MAPK11	physical-association
ABL1	MAPK12	physical-association
ABL1	MAPK14	physical-association
ABL1	MAPK3	association
ABL1	MEF2A	association
ABL1	MEF2C	association
ABL1	MYC	association
ABL1	NCK1	association
ABL1	NCKAP1	physical-association
ABL1	NCKIPSD	association
ABL1	RAC1	physical-association
ABL1	ROBO1	physical-association
ABL1	SHC2	association
ABL1	SLIT2	physical-association
ABL1	SPAG9	physical-association
ABL1	STAT5A	association
ABL1	TAB1	association
ABL1	TAB2	association
ABL1	TAB3	association
ABL1	TCF3	association
ABL1	WAS	association
ABL1	WASF2	physical-association
ABL1	WASL	association
ABL1	WIPF1	association
ABL1	WIPF2	association
ABL1	WIPF3	association
ABLIM1	DCC	physical-association
ABLIM1	PTK2	physical-association
ABLIM1	RAC1	physical-association
ABLIM1	SRC	physical-association
ABLIM2	DCC	physical-association
ABLIM2	PTK2	physical-association
ABLIM2	RAC1	physical-association
ABLIM2	SRC	physical-association
ABLIM3	DCC	physical-association
ABLIM3	PTK2	physical-association
ABLIM3	RAC1	physical-association
ABLIM3	SRC	physical-association
ABR	ARHGEF6	association
ABR	CDC42	physical-association
ABR	PIK3R2	association
ABR	RAC1	physical-association
ABR	RALBP1	association
ABR	RHOA	physical-association
ABR	ROCK1	association
ABR	SOS1	association
ACACB	SP1	association
ACADM	CREBBP	association
ACADM	NCOR1	association
ACADM	RXRA	association
ACADM	SIN3A	association
ACAN	MMP1	physical-association
ACAN	MMP3	physical-association
ACAN	MMP9	physical-association
ACAN	TNC	physical-association
ACD	BRCA1	association
ACD	PCNA	association
ACD	POLD3	association
ACIN1	CASP3	physical-association
ACKR3	ADCY1	association
ACKR3	C3	physical-association
ACKR3	CCR3	association
ACKR3	CCR4	association
ACKR3	CCR5	association
ACKR3	CCR7	association
ACKR3	CCR8	association
ACKR3	IL8	physical-association
ACKR3	PIK3R5	association
ACOX1	CREBBP	association
ACOX1	NCOR1	association
ACOX1	RXRA	association
ACOX1	SIN3A	association
ACSL1	CREBBP	association
ACSL1	NCOR1	association
ACSL1	RXRA	association
ACSL1	SIN3A	association
ACTA1	TPM1	physical-association
ACTA1	VIM	physical-association
ACTA2	PXN	physical-association
ACTA2	TLN1	physical-association
ACTA2	TPM1	physical-association
ACTB	CDC42	physical-association
ACTB	EZR	physical-association
ACTB	FCGR1A	association
ACTB	GRB2	physical-association
ACTB	KAT5	physical-association
ACTB	MAPKAPK2	association
ACTB	PDPK1	association
ACTB	PIK3CA	association
ACTB	PIK3R2	association
ACTB	PTK2	association
ACTB	RAC1	physical-association
ACTB	RALA	physical-association
ACTB	SYK	association
ACTB	TRRAP	physical-association
ACTC1	TPM1	physical-association
ACTC1	VIM	physical-association
ACTG1	CDC42	physical-association
ACTG1	EZR	physical-association
ACTG1	FCGR1A	association
ACTG1	GRB2	physical-association
ACTG1	MAPKAPK2	association
ACTG1	PDPK1	association
ACTG1	PIK3CA	association
ACTG1	PIK3R2	association
ACTG1	PTK2	association
ACTG1	RAC1	physical-association
ACTG1	RALA	physical-association
ACTG1	SYK	association
ACTG2	PXN	physical-association
ACTG2	TLN1	physical-association
ACTG2	TPM1	physical-association
ACTL6A	KAT5	physical-association
ACTL6A	TRRAP	physical-association
ACTN2	ADCY1	association
ACTN2	CAMK2A	physical-association
ACTN2	GRIA3	physical-association
ACTN2	HRAS	physical-association
ACTN2	TPM1	physical-association
ACTN2	VIM	physical-association
ACTN3	TPM1	physical-association
ACTN3	VIM	physical-association
ACTN4	KIRREL	physical-association
ACTN4	NPHS1	physical-association
ACTR1A	CCNB2	association
ACTR1A	CDK1	physical-association
ACTR1A	HSP90AA1	physical-association
ACTR1A	PRKACA	physical-association
ACTR1A	YWHAE	physical-association
ACTR2	CDC42	physical-association
ACTR2	FCGR1A	association
ACTR2	GRB2	physical-association
ACTR2	PIK3CA	association
ACTR2	PIK3R2	association
ACTR2	PTK2	association
ACTR2	RAC1	physical-association
ACTR2	SYK	association
ACTR3	CDC42	physical-association
ACTR3	FCGR1A	association
ACTR3	GRB2	physical-association
ACTR3	PIK3CA	association
ACTR3	PIK3R2	association
ACTR3	PTK2	association
ACTR3	RAC1	physical-association
ACTR3	SYK	association
ACVR1B	SMAD2	physical-association
ACVR1B	SMAD3	physical-association
ACVR1B	SMAD4	association
ACVR1C	SMAD2	physical-association
ACVR1C	SMAD3	physical-association
ACVR1C	SMAD4	association
ACVR2A	BMP2	physical-association
ACVR2A	SMAD1	physical-association
ACVR2A	SMAD2	physical-association
ACVR2A	SMAD3	physical-association
ACVR2A	SMAD4	association
ACVR2B	BMP2	physical-association
ACVR2B	SMAD1	physical-association
ACVR2B	SMAD2	physical-association
ACVR2B	SMAD3	physical-association
ACVR2B	SMAD4	association
ADAM10	CDH1	physical-association
ADAM10	EFNA3	physical-association
ADAM10	EGF	physical-association
ADAM10	EGFR	association
ADAM10	NOTCH1	physical-association
ADAM12	EGF	physical-association
ADAM12	EGFR	association
ADAM15	CDH1	physical-association
ADAM17	EGF	physical-association
ADAM17	EGFR	association
ADAM17	NGFR	physical-association
ADAM17	SHH	physical-association
ADAM17	TNF	physical-association
ADAM17	TNFRSF1A	association
ADAR	IRF9	association
ADAR	STAT1	association
ADCY1	ADCYAP1	association
ADCY1	ADCYAP1R1	association
ADCY1	ADM	association
ADCY1	ADM2	association
ADCY1	ADORA1	association
ADCY1	ADORA2A	association
ADCY1	ADORA2B	association
ADCY1	ADORA3	association
ADCY1	ADRA2A	association
ADCY1	ADRA2B	association
ADCY1	ADRA2C	association
ADCY1	ADRB1	association
ADCY1	ADRB2	association
ADCY1	ADRB3	association
ADCY1	AGT	association
ADCY1	AGTR2	association
ADCY1	AKAP9	association
ADCY1	ANXA1	association
ADCY1	APLN	association
ADCY1	APLNR	association
ADCY1	APP	association
ADCY1	AVP	association
ADCY1	AVPR2	association
ADCY1	BDKRB1	association
ADCY1	BDKRB2	association
ADCY1	C3	association
ADCY1	C3AR1	association
ADCY1	C5	association
ADCY1	C5AR1	association
ADCY1	CALCA	association
ADCY1	CALCB	association
ADCY1	CALCR	association
ADCY1	CALCRL	association
ADCY1	CALM1	association
ADCY1	CAMK2A	association
ADCY1	CAMK2B	association
ADCY1	CAMK2D	association
ADCY1	CAMK2G	association
ADCY1	CASR	association
ADCY1	CCL16	association
ADCY1	CCL19	association
ADCY1	CCL20	association
ADCY1	CCL21	association
ADCY1	CCL23	association
ADCY1	CCL25	association
ADCY1	CCL27	association
ADCY1	CCL28	association
ADCY1	CCL5	association
ADCY1	CCR1	association
ADCY1	CCR10	association
ADCY1	CCR2	association
ADCY1	CCR3	association
ADCY1	CCR4	association
ADCY1	CCR5	association
ADCY1	CCR6	association
ADCY1	CCR7	association
ADCY1	CCR8	association
ADCY1	CCR9	association
ADCY1	CGA	association
ADCY1	CHRM2	association
ADCY1	CHRM4	association
ADCY1	CNR1	association
ADCY1	CNR2	association
ADCY1	CREB1	association
ADCY1	CRH	association
ADCY1	CRHR1	association
ADCY1	CRHR2	association
ADCY1	CXCL1	association
ADCY1	CXCL10	association
ADCY1	CXCL11	association
ADCY1	CXCL12	association
ADCY1	CXCL13	association
ADCY1	CXCL16	association
ADCY1	CXCL2	association
ADCY1	CXCL3	association
ADCY1	CXCL5	association
ADCY1	CXCL6	association
ADCY1	CXCL9	association
ADCY1	CXCR1	association
ADCY1	CXCR2	association
ADCY1	CXCR3	association
ADCY1	CXCR4	association
ADCY1	CXCR5	association
ADCY1	CXCR6	association
ADCY1	DLG4	association
ADCY1	DRD1	association
ADCY1	DRD2	association
ADCY1	DRD3	association
ADCY1	DRD4	association
ADCY1	DRD5	association
ADCY1	FPR1	association
ADCY1	FPR2	association
ADCY1	FPR3	association
ADCY1	FSHB	association
ADCY1	FSHR	association
ADCY1	GABBR1	association
ADCY1	GABBR2	association
ADCY1	GAL	association
ADCY1	GALR1	association
ADCY1	GALR2	association
ADCY1	GALR3	association
ADCY1	GCG	association
ADCY1	GCGR	association
ADCY1	GHRH	association
ADCY1	GHRHR	association
ADCY1	GIP	association
ADCY1	GIPR	association
ADCY1	GLP1R	association
ADCY1	GLP2R	association
ADCY1	GNAI1	physical-association
ADCY1	GNAI2	physical-association
ADCY1	GNAI3	physical-association
ADCY1	GNAL	physical-association
ADCY1	GNAS	physical-association
ADCY1	GNAT3	physical-association
ADCY1	GNAZ	physical-association
ADCY1	GNB1	association
ADCY1	GNB2	association
ADCY1	GNB3	association
ADCY1	GNB4	association
ADCY1	GNG10	association
ADCY1	GNG11	association
ADCY1	GNG12	association
ADCY1	GNG13	association
ADCY1	GNG2	association
ADCY1	GNG3	association
ADCY1	GNG4	association
ADCY1	GNG5	association
ADCY1	GNG7	association
ADCY1	GNG8	association
ADCY1	GPBAR1	association
ADCY1	GPER1	association
ADCY1	GPR17	association
ADCY1	GPR18	association
ADCY1	GPR55	association
ADCY1	GRIN1	association
ADCY1	GRIN2A	association
ADCY1	GRIN2B	association
ADCY1	GRIN2C	association
ADCY1	GRIN2D	association
ADCY1	GRM2	association
ADCY1	GRM3	association
ADCY1	GRM4	association
ADCY1	GRM6	association
ADCY1	GRM7	association
ADCY1	GRM8	association
ADCY1	HCAR1	association
ADCY1	HCAR2	association
ADCY1	HCAR3	association
ADCY1	HEBP1	association
ADCY1	HRH2	association
ADCY1	HRH3	association
ADCY1	HRH4	association
ADCY1	HTR1A	association
ADCY1	HTR1B	association
ADCY1	HTR1D	association
ADCY1	HTR1E	association
ADCY1	HTR1F	association
ADCY1	HTR4	association
ADCY1	HTR5A	association
ADCY1	HTR6	association
ADCY1	HTR7	association
ADCY1	IAPP	association
ADCY1	IL8	association
ADCY1	INSL3	association
ADCY1	INSL5	association
ADCY1	KNG1	association
ADCY1	LHB	association
ADCY1	LHCGR	association
ADCY1	LPAR1	association
ADCY1	LPAR2	association
ADCY1	LPAR3	association
ADCY1	LPAR5	association
ADCY1	MC1R	association
ADCY1	MC2R	association
ADCY1	MC3R	association
ADCY1	MC4R	association
ADCY1	MC5R	association
ADCY1	MCHR1	association
ADCY1	MCHR2	association
ADCY1	MT-RNR2	association
ADCY1	MTNR1A	association
ADCY1	MTNR1B	association
ADCY1	NEFL	association
ADCY1	NMS	association
ADCY1	NMU	association
ADCY1	NMUR1	association
ADCY1	NMUR2	association
ADCY1	NPB	association
ADCY1	NPBWR1	association
ADCY1	NPBWR2	association
ADCY1	NPS	association
ADCY1	NPSR1	association
ADCY1	NPW	association
ADCY1	NPY	association
ADCY1	NPY1R	association
ADCY1	NPY2R	association
ADCY1	NPY4R	association
ADCY1	NPY5R	association
ADCY1	OPRD1	association
ADCY1	OPRK1	association
ADCY1	OPRL1	association
ADCY1	OPRM1	association
ADCY1	OXER1	association
ADCY1	OXGR1	association
ADCY1	P2RY11	association
ADCY1	P2RY12	association
ADCY1	P2RY13	association
ADCY1	P2RY14	association
ADCY1	P2RY4	association
ADCY1	PDE10A	association
ADCY1	PDE11A	association
ADCY1	PDE1A	association
ADCY1	PDE1B	association
ADCY1	PDE1C	association
ADCY1	PDE2A	association
ADCY1	PDE3A	association
ADCY1	PDE3B	association
ADCY1	PDE4A	association
ADCY1	PDE4B	association
ADCY1	PDE4C	association
ADCY1	PDE4D	association
ADCY1	PDE7A	association
ADCY1	PDE7B	association
ADCY1	PDE8A	association
ADCY1	PDE8B	association
ADCY1	PDYN	association
ADCY1	PENK	association
ADCY1	PF4	association
ADCY1	PMCH	association
ADCY1	PNOC	association
ADCY1	POMC	association
ADCY1	PPBP	association
ADCY1	PPY	association
ADCY1	PRKACA	association
ADCY1	PRKACB	association
ADCY1	PRKACG	association
ADCY1	PRKAR1A	association
ADCY1	PRKAR1B	association
ADCY1	PRKAR2A	association
ADCY1	PRKAR2B	association
ADCY1	PTGDR	association
ADCY1	PTGDR2	association
ADCY1	PTGER2	association
ADCY1	PTGER3	association
ADCY1	PTGER4	association
ADCY1	PTGIR	association
ADCY1	PTH	association
ADCY1	PTH1R	association
ADCY1	PTH2	association
ADCY1	PTH2R	association
ADCY1	PTHLH	association
ADCY1	PYY	association
ADCY1	RAMP1	association
ADCY1	RAMP2	association
ADCY1	RAMP3	association
ADCY1	RAPGEF3	association
ADCY1	RAPGEF4	association
ADCY1	RLN2	association
ADCY1	RLN3	association
ADCY1	RXFP1	association
ADCY1	RXFP2	association
ADCY1	RXFP3	association
ADCY1	RXFP4	association
ADCY1	S1PR1	association
ADCY1	S1PR2	association
ADCY1	S1PR3	association
ADCY1	S1PR4	association
ADCY1	S1PR5	association
ADCY1	SAA1	association
ADCY1	SCT	association
ADCY1	SCTR	association
ADCY1	SST	association
ADCY1	SSTR1	association
ADCY1	SSTR2	association
ADCY1	SSTR3	association
ADCY1	SSTR4	association
ADCY1	SSTR5	association
ADCY1	SUCNR1	association
ADCY1	TAAR1	association
ADCY1	TAS2R1	association
ADCY1	TAS2R10	association
ADCY1	TAS2R13	association
ADCY1	TAS2R14	association
ADCY1	TAS2R16	association
ADCY1	TAS2R19	association
ADCY1	TAS2R20	association
ADCY1	TAS2R3	association
ADCY1	TAS2R30	association
ADCY1	TAS2R31	association
ADCY1	TAS2R38	association
ADCY1	TAS2R39	association
ADCY1	TAS2R4	association
ADCY1	TAS2R40	association
ADCY1	TAS2R41	association
ADCY1	TAS2R42	association
ADCY1	TAS2R43	association
ADCY1	TAS2R45	association
ADCY1	TAS2R46	association
ADCY1	TAS2R5	association
ADCY1	TAS2R50	association
ADCY1	TAS2R60	association
ADCY1	TAS2R7	association
ADCY1	TAS2R8	association
ADCY1	TAS2R9	association
ADCY1	TSHB	association
ADCY1	TSHR	association
ADCY1	VIP	association
ADCY1	VIPR1	association
ADCY1	VIPR2	association
ADCY2	C3	association
ADCY2	CCR3	association
ADCY2	CCR4	association
ADCY2	CCR5	association
ADCY2	CCR7	association
ADCY2	CCR8	association
ADCY2	IL8	association
ADCY2	PRKACA	association
ADCY3	C3	association
ADCY3	CAMK2A	association
ADCY3	CCR3	association
ADCY3	CCR4	association
ADCY3	CCR5	association
ADCY3	CCR7	association
ADCY3	CCR8	association
ADCY3	CREB1	association
ADCY3	IL8	association
ADCY3	PRKACA	association
ADCY4	C3	association
ADCY4	CCR3	association
ADCY4	CCR4	association
ADCY4	CCR5	association
ADCY4	CCR7	association
ADCY4	CCR8	association
ADCY4	IL8	association
ADCY4	PRKACA	association
ADCY5	C3	association
ADCY5	CCR3	association
ADCY5	CCR4	association
ADCY5	CCR5	association
ADCY5	CCR7	association
ADCY5	CCR8	association
ADCY5	IL8	association
ADCY5	PRKACA	association
ADCY6	C3	association
ADCY6	CCR3	association
ADCY6	CCR4	association
ADCY6	CCR5	association
ADCY6	CCR7	association
ADCY6	CCR8	association
ADCY6	IL8	association
ADCY6	PRKACA	association
ADCY7	C3	association
ADCY7	CCR3	association
ADCY7	CCR4	association
ADCY7	CCR5	association
ADCY7	CCR7	association
ADCY7	CCR8	association
ADCY7	IL8	association
ADCY7	PRKACA	association
ADCY8	C3	association
ADCY8	CAMK2A	association
ADCY8	CCR3	association
ADCY8	CCR4	association
ADCY8	CCR5	association
ADCY8	CCR7	association
ADCY8	CCR8	association
ADCY8	CREB1	association
ADCY8	IL8	association
ADCY8	PRKACA	association
ADCY9	C3	association
ADCY9	CCR3	association
ADCY9	CCR4	association
ADCY9	CCR5	association
ADCY9	CCR7	association
ADCY9	CCR8	association
ADCY9	IL8	association
ADCY9	PRKACA	association
ADCYAP1	NTRK1	physical-association
ADCYAP1	PIK3R5	association
ADCYAP1R1	NTRK1	physical-association
ADCYAP1R1	PIK3R5	association
ADD1	APAF1	association
ADD1	CASP3	physical-association
ADD1	CASP9	association
ADD1	CYCS	association
ADD1	XIAP	association
ADIPOQ	CEBPA	association
ADIPOQ	CEBPB	association
ADIPOQ	CREBBP	association
ADIPOQ	NCOR1	association
ADIPOQ	PPARG	association
ADIPOQ	RXRA	association
ADM	PIK3R5	association
ADM2	PIK3R5	association
ADORA1	C3	physical-association
ADORA1	CCR3	association
ADORA1	CCR4	association
ADORA1	CCR5	association
ADORA1	CCR7	association
ADORA1	CCR8	association
ADORA1	IL8	physical-association
ADORA1	PIK3R5	association
ADORA2A	C3	association
ADORA2A	CCR3	association
ADORA2A	CCR4	association
ADORA2A	CCR5	association
ADORA2A	CCR7	association
ADORA2A	CCR8	association
ADORA2A	IL8	association
ADORA2A	NTRK1	physical-association
ADORA2A	PIK3R5	association
ADORA2B	C3	association
ADORA2B	CCR3	association
ADORA2B	CCR4	association
ADORA2B	CCR5	association
ADORA2B	CCR7	association
ADORA2B	CCR8	association
ADORA2B	IL8	association
ADORA2B	PIK3R5	association
ADORA3	C3	physical-association
ADORA3	CCR3	association
ADORA3	CCR4	association
ADORA3	CCR5	association
ADORA3	CCR7	association
ADORA3	CCR8	association
ADORA3	IL8	physical-association
ADORA3	PIK3R5	association
ADRA1A	PIK3CA	association
ADRA1A	PIK3R5	association
ADRA1B	PIK3CA	association
ADRA1B	PIK3R5	association
ADRA1D	PIK3CA	association
ADRA1D	PIK3R5	association
ADRA2A	C3	physical-association
ADRA2A	CCR3	association
ADRA2A	CCR4	association
ADRA2A	CCR5	association
ADRA2A	CCR7	association
ADRA2A	CCR8	association
ADRA2A	IL8	physical-association
ADRA2A	PIK3R5	association
ADRA2B	C3	physical-association
ADRA2B	CCR3	association
ADRA2B	CCR4	association
ADRA2B	CCR5	association
ADRA2B	CCR7	association
ADRA2B	CCR8	association
ADRA2B	IL8	physical-association
ADRA2B	PIK3R5	association
ADRA2C	C3	physical-association
ADRA2C	CCR3	association
ADRA2C	CCR4	association
ADRA2C	CCR5	association
ADRA2C	CCR7	association
ADRA2C	CCR8	association
ADRA2C	IL8	physical-association
ADRA2C	PIK3R5	association
ADRB1	PIK3R5	association
ADRB2	PIK3R5	association
ADRB3	PIK3R5	association
ADRBK1	PRKCA	physical-association
AEBP2	DNMT1	association
AEBP2	DNMT3A	association
AEBP2	EZH2	physical-association
AGER	MAPK1	physical-association
AGER	NFKB1	association
AGER	NFKB2	association
AGO1	CDKN2A	association
AGO1	DICER1	association
AGO1	NOTCH1	association
AGO1	PTEN	association
AGO1	TP53	association
AGO2	DICER1	association
AGO2	NOTCH1	association
AGO2	PTEN	association
AGO2	TP53	association
AGO3	CDKN2A	association
AGO3	DICER1	association
AGO3	NOTCH1	association
AGO3	PTEN	association
AGO3	TP53	association
AGO4	CDKN2A	association
AGO4	DICER1	association
AGO4	NOTCH1	association
AGO4	PTEN	association
AGO4	TP53	association
AGRN	ITGB1	physical-association
AGT	C3	association
AGT	CCR3	physical-association
AGT	CCR4	physical-association
AGT	CCR5	physical-association
AGT	CCR7	physical-association
AGT	CCR8	physical-association
AGT	CREBBP	association
AGT	IL8	association
AGT	NCOR1	association
AGT	PIK3CA	association
AGT	PIK3R5	association
AGT	RXRA	association
AGT	SIN3A	association
AGTR1	C3	association
AGTR1	CCR3	association
AGTR1	CCR4	association
AGTR1	CCR5	association
AGTR1	CCR7	association
AGTR1	CCR8	association
AGTR1	IL8	association
AGTR1	PIK3CA	association
AGTR1	PIK3R5	association
AGTR2	C3	physical-association
AGTR2	CCR3	association
AGTR2	CCR4	association
AGTR2	CCR5	association
AGTR2	CCR7	association
AGTR2	CCR8	association
AGTR2	IL8	physical-association
AGTR2	PIK3R5	association
AHCTF1	BIRC5	physical-association
AHCTF1	BUB1B	physical-association
AHCTF1	BUB3	physical-association
AHCTF1	CCNB2	physical-association
AHCTF1	CDC20	physical-association
AHCTF1	CDCA5	physical-association
AHCTF1	CDK1	physical-association
AHCTF1	MAD1L1	physical-association
AHCTF1	MAD2L1	physical-association
AHCTF1	XPO1	physical-association
AJUBA	CDK1	physical-association
AJUBA	HSP90AA1	physical-association
AJUBA	PRKACA	physical-association
AJUBA	YWHAE	physical-association
AK1	SLC25A4	association
AKAP1	PRKACA	physical-association
AKAP10	PRKACA	physical-association
AKAP13	CDC42	physical-association
AKAP13	PIK3R2	association
AKAP13	RAC1	physical-association
AKAP13	RALBP1	association
AKAP13	RHOA	physical-association
AKAP13	ROCK1	association
AKAP5	CAMK2A	physical-association
AKAP5	DLG1	physical-association
AKAP5	GRIA3	physical-association
AKAP5	MDM2	physical-association
AKAP5	PRKACA	physical-association
AKAP9	CAMK2A	physical-association
AKAP9	CCNB2	association
AKAP9	CDK1	physical-association
AKAP9	GRIA3	physical-association
AKAP9	HRAS	physical-association
AKAP9	HSP90AA1	physical-association
AKAP9	PRKACA	physical-association
AKAP9	YWHAE	physical-association
AKT1	BAD	physical-association
AKT1	CASP9	physical-association
AKT1	CD86	association
AKT1	CDKN1A	physical-association
AKT1	CDKN1B	physical-association
AKT1	CHUK	physical-association
AKT1	CREB1	physical-association
AKT1	CSF2	association
AKT1	CTNNB1	physical-association
AKT1	FOXO1	physical-association
AKT1	FOXO3	physical-association
AKT1	GAB2	association
AKT1	GRB2	association
AKT1	GSK3B	physical-association
AKT1	HSP90AA1	physical-association
AKT1	IL2	association
AKT1	IL2RA	association
AKT1	IL2RB	association
AKT1	IL3	association
AKT1	IRS1	association
AKT1	IRS2	association
AKT1	ITGB3	physical-association
AKT1	JAK1	association
AKT1	JAK3	association
AKT1	LCK	association
AKT1	LYN	association
AKT1	MAP3K14	association
AKT1	MDM2	physical-association
AKT1	MTOR	physical-association
AKT1	PDPK1	physical-association
AKT1	PIK3CA	association
AKT1	PIK3R2	association
AKT1	PIK3R5	association
AKT1	RAP1A	association
AKT1	SHC1	association
AKT1	SRC	association
AKT1	TLN1	association
AKT1	YWHAE	association
AKT1	YWHAQ	association
AKT1S1	MTOR	physical-association
AKT1S1	PDPK1	association
AKT1S1	RPTOR	physical-association
AKT2	CTNNB1	physical-association
AKT2	FGFR3	association
AKT2	GAB1	association
AKT2	GRB2	association
AKT2	IRS1	association
AKT2	IRS2	association
AKT2	PDPK1	physical-association
AKT2	PIK3CA	association
AKT2	PIK3R2	association
AKT2	PTPN11	association
AKT2	RALA	association
AKT2	YWHAE	association
AKT2	YWHAQ	association
AKT3	BAD	association
AKT3	BCL2L1	association
AKT3	CASP9	association
AKT3	CDKN1A	association
AKT3	CDKN1B	association
AKT3	CHUK	association
AKT3	FOXO1	association
AKT3	FOXO3	association
AKT3	GSK3B	association
AKT3	ILK	association
AKT3	JUN	association
AKT3	MDM2	association
AKT3	MTOR	association
AKT3	NFKB1	association
AKT3	NKX3-1	association
AKT3	PDPK1	association
AKT3	PIK3CA	association
AKT3	PIK3R5	association
ALAS1	CREBBP	association
ALAS1	RXRA	association
ALK	HRAS	association
ALK	PIK3CA	association
ALMS1	CCNB2	association
ALMS1	CDK1	physical-association
ALMS1	HSP90AA1	physical-association
ALMS1	PRKACA	physical-association
ALMS1	YWHAE	physical-association
ALOX12	HPGD	association
ALOX5	HPGD	association
ALOX5	MAPKAPK2	physical-association
ALOX5	PTGS2	association
ALOX5AP	HPGD	association
ALOX5AP	MAPKAPK2	association
ALOX5AP	PTGS2	association
ALYREF	FUS	physical-association
ALYREF	HNRNPK	physical-association
AMER1	AXIN1	physical-association
AMER1	CTNNB1	physical-association
AMER1	GSK3B	physical-association
AMER1	PSMC1	association
AMER1	RBX1	physical-association
ANAPC1	ANAPC10	physical-association
ANAPC1	BUB1B	physical-association
ANAPC1	BUB3	physical-association
ANAPC1	CDC20	physical-association
ANAPC1	CDC25A	association
ANAPC1	CDK1	physical-association
ANAPC1	CDK2	physical-association
ANAPC1	CDKN1A	association
ANAPC1	CDKN1B	association
ANAPC1	CKS1B	association
ANAPC1	IL6	association
ANAPC1	IL8	association
ANAPC1	MAD2L1	physical-association
ANAPC1	PSMC1	association
ANAPC1	SKP2	physical-association
ANAPC10	ANAPC11	physical-association
ANAPC10	ANAPC13	physical-association
ANAPC10	ANAPC2	physical-association
ANAPC10	ANAPC4	physical-association
ANAPC10	ANAPC5	physical-association
ANAPC10	ANAPC7	physical-association
ANAPC10	AURKA	physical-association
ANAPC10	AURKB	physical-association
ANAPC10	BUB1B	physical-association
ANAPC10	BUB3	physical-association
ANAPC10	CCNB1	physical-association
ANAPC10	CCNB2	association
ANAPC10	CCNH	association
ANAPC10	CDC16	physical-association
ANAPC10	CDC20	physical-association
ANAPC10	CDC23	physical-association
ANAPC10	CDC25A	association
ANAPC10	CDC25B	association
ANAPC10	CDC25C	association
ANAPC10	CDC26	physical-association
ANAPC10	CDC27	physical-association
ANAPC10	CDK1	physical-association
ANAPC10	CDK2	physical-association
ANAPC10	CDK7	association
ANAPC10	CDKN1A	association
ANAPC10	CDKN1B	association
ANAPC10	CKS1B	association
ANAPC10	CUL1	association
ANAPC10	EHMT1	physical-association
ANAPC10	EHMT2	physical-association
ANAPC10	ESPL1	association
ANAPC10	FZR1	physical-association
ANAPC10	H3F3A	association
ANAPC10	HIST1H3A	association
ANAPC10	HIST1H4A	association
ANAPC10	HIST2H3A	association
ANAPC10	IL6	association
ANAPC10	IL8	association
ANAPC10	MAD2L1	physical-association
ANAPC10	MNAT1	association
ANAPC10	NEK2	physical-association
ANAPC10	PLK1	physical-association
ANAPC10	PSMA1	association
ANAPC10	PSMA2	association
ANAPC10	PSMA3	association
ANAPC10	PSMA4	association
ANAPC10	PSMA5	association
ANAPC10	PSMA6	association
ANAPC10	PSMA7	association
ANAPC10	PSMA8	association
ANAPC10	PSMB1	association
ANAPC10	PSMB10	association
ANAPC10	PSMB11	association
ANAPC10	PSMB2	association
ANAPC10	PSMB3	association
